SNR,Accuracy,F1,Precision,Recall
-7.0,0.9523281596452328,0.9522756626442361,0.9528253109950536,0.9523281596452328
-6.5,0.950480413895048,0.9504303940763228,0.9508387981391515,0.950480413895048
-6.0,0.9493717664449371,0.9493230752689166,0.9496562236007233,0.9493717664449371
-5.5,0.9471544715447154,0.9470979713083855,0.9473040262466486,0.9471544715447154
-5.0,0.9445676274944568,0.9445114487190219,0.9445970651764446,0.9445676274944568
-4.5,0.9423503325942351,0.94231933583116,0.9423634464496303,0.9423503325942351
-4.0,0.9371766444937176,0.9371461001689692,0.9371167401674311,0.9371766444937176
-3.5,0.9320029563932003,0.9320018848412526,0.932073252727742,0.9320029563932003
-3.0,0.9301552106430155,0.930151641726206,0.9302811097265747,0.9301552106430155
-2.5,0.9257206208425721,0.9257057966450432,0.9260427427834842,0.9257206208425721
-2.0,0.9164818920916482,0.916437207972757,0.9174257819136877,0.9164818920916482
-1.5,0.9057649667405765,0.9056405497852191,0.9079067411451467,0.9057649667405765
-1.0,0.8976348854397634,0.8974565552954782,0.90100639325667,0.8976348854397634
-0.5,0.8902439024390244,0.8899892343116595,0.8946125399739482,0.8902439024390244
0.0,0.8828529194382853,0.8825109957320226,0.8887096625837294,0.8828529194382853
0.5,0.8699186991869918,0.8692260422016022,0.878118253644102,0.8699186991869918
1.0,0.852549889135255,0.8512108163242049,0.8642922981158274,0.852549889135255
1.5,0.8373983739837398,0.8357802496265085,0.8533367284213096,0.8373983739837398
2.0,0.8211382113821138,0.8185382772926015,0.8408789143937055,0.8211382113821138
2.5,0.7982261640798226,0.7932890910246678,0.8236197623117458,0.7982261640798226
3.0,0.779379157427938,0.7724313187312072,0.8086330876402166,0.779379157427938
3.5,0.7575757575757576,0.748038610427966,0.7913064606966731,0.7575757575757576
4.0,0.7361419068736141,0.7237452832050966,0.774105175187036,0.7361419068736141
4.5,0.721359940872136,0.7069561513325666,0.7603027108319249,0.721359940872136
5.0,0.7058388765705839,0.6903840586006482,0.7478149286770533,0.7058388765705839
5.5,0.6807095343680709,0.6624777401237023,0.7226562002250612,0.6807095343680709
6.0,0.6677753141167775,0.6481042611954891,0.709597744939301,0.6677753141167775
