SNR,Accuracy,F1,Precision,Recall
-7.0,0.9450354609929078,0.94497671921544,0.9492926019147445,0.9450354609929078
-6.5,0.9403073286052009,0.9401354720093377,0.9449468959320102,0.9403073286052009
-6.0,0.933806146572104,0.933465008801281,0.9389768933321458,0.933806146572104
-5.5,0.9273049645390071,0.9267831211142176,0.9328619260446558,0.9273049645390071
-5.0,0.9213947990543735,0.9208737533123345,0.9273998500473167,0.9213947990543735
-4.5,0.9140070921985816,0.9132916599259016,0.9209980761428159,0.9140070921985816
-4.0,0.9027777777777778,0.902048194563176,0.9109329966486795,0.9027777777777778
-3.5,0.8894799054373522,0.8886414157234873,0.8996317749196884,0.8894799054373522
-3.0,0.87322695035461,0.8720862879941345,0.8862966329367971,0.87322695035461
-2.5,0.8519503546099291,0.8505311401995984,0.8699247447927212,0.8519503546099291
-2.0,0.8283096926713948,0.8266209803997916,0.8525304559990016,0.8283096926713948
-1.5,0.8031914893617021,0.8011720825125195,0.8359148864546903,0.8031914893617021
-1.0,0.7801418439716312,0.778183043537971,0.8215256392484304,0.7801418439716312
-0.5,0.7511820330969267,0.7485683480460402,0.8037981847221626,0.7511820330969267
0.0,0.7207446808510638,0.717491123909329,0.7861702440352016,0.7207446808510638
0.5,0.6846926713947991,0.6792096414101074,0.7661696999245409,0.6846926713947991
1.0,0.6548463356973995,0.647470293731253,0.751148815681435,0.6548463356973995
1.5,0.624113475177305,0.6133742812967391,0.7337122691114213,0.624113475177305
2.0,0.6004728132387707,0.5866291358339201,0.7235978134318892,0.6004728132387707
2.5,0.5780141843971631,0.5601875409483311,0.7133671363681673,0.5780141843971631
3.0,0.5460992907801419,0.5214209250916957,0.6956305869823313,0.5460992907801419
3.5,0.5212765957446809,0.48964033510904637,0.6801447652444008,0.5212765957446809
4.0,0.4940898345153664,0.45384325968023825,0.6651585401066701,0.4940898345153664
4.5,0.4725177304964539,0.42352121289659506,0.6508725881625066,0.4725177304964539
5.0,0.4491725768321513,0.389850013239087,0.6312999630327197,0.4491725768321513
5.5,0.43439716312056736,0.36736650494381956,0.6206388249411051,0.43439716312056736
6.0,0.41962174940898345,0.34425367246864763,0.6076683804075518,0.41962174940898345
